[NORMS]
Name:,LTC_VACUUM_A
Description:,"LRT200, LRT500, RMV, UVT, 397, V1, V2 (M Sampson)"
Rules:,TCV_OIL
Fluidtype:,OIL
Normal_dga_interval:,365
Alert_dga_interval:,90
Warn_dga_interval:,30
Alarm_dga_interval:,7
Normal_fq_interval:,365
Baseline_interval:,30
Short_term_interval:,7

variable,min_interp,low_alert,low_warn,low_alarm,high_alert,high_warn,high_alarm,inc_alert,inc_warn,inc_alarm,inc_relative,rate_alert,rate_warn,rate_alarm
c2h2,,,,,5,,,,,,False,,,
c2h4,,,,,200,,,,,,False,,,
c2h6,,,,,50,,,,,,False,,,
ch4,,,,,100,,,,,,False,,,
color,,,,,2,,,,,,False,,,
d877,,25,,,,,,,,,False,,,
ift,,25,,,,,,,,,False,,,
pf25,,,,,1,,,,,,False,,,
totalpcb,,,,,50,500,10000,,,,False,,,


