[NORMS]
Name:,TRN_IEEE_INC_69KV
Description:,Oil-immersed sealed power transformers up to 69 kV - IEEE incremental norms
Rules:,TR_OIL
Fluidtype:,OIL
Normal_dga_interval:,365
Alert_dga_interval:,90
Warn_dga_interval:,30
Alarm_dga_interval:,7
Normal_fq_interval:,365
Baseline_interval:,30
Short_term_interval:,7

variable,min_interp,low_alert,low_warn,low_alarm,high_alert,high_warn,high_alarm,inc_alert,inc_warn,inc_alarm,inc_relative,rate_alert,rate_warn,rate_alarm
acidnum,,,,,0.2,0.5,,,,,False,,,
c2h2,,,,,3,,,3,15,30,False,0.12,1.2,2.4
c2h4,,,,,51,,,51,101,201,False,0.17,1.67,3.33
c2h6,,,,,66,,,66,101,151,False,0.22,2.2,4.4
ch4,,,,,121,,,121,401,1001,False,0.4,4,8
co,,,,,351,,,351,571,1401,False,1.2,12,24
co2/co,,3,,,10,,,,,,False,,,
d1816_1,,23,,,,,,,,,False,,,
d1816_2,,34,,,,,,,,,False,,,
d877,,26,,,,,,,,,False,,,
furfural,,,,,100,250,1000,,,,False,25,50,75
h2,,,,,101,,,101,701,1801,False,0.33,3.33,6.66
ift,,24,16,,,,,,,,False,,,
o2,,,,,8000,,,,,,False,,,
relsaturation,,,,,30,,,,,,False,,,
totalfuran,,,,,100,250,1000,,,,False,25,50,75
totalpcb,,,,,50,500,10000,,,,False,,,
water,,,,,35,,,,,,False,,,


