equipnum,serialnum,apprtype,owner_name,region_name,substn_name,designation,norm_name,fluidtype,eqp_desc,mfr,year_mfg,model,kv_ratings,mva_ratings,ratedkv,ratedamps,oilpres,cooling,fluidvol,has_filtration,temp_rise,triphase,pct_impedance_hx,external_id,in_service,spare,surveillance,eqp_remarks
670,P013261,XFMR,,4kv,,,TRN_IEEE_INC_69KV,OIL,POWER TRANSFORMER,GE,,,23.9,,0.000,,,,0,0,,1,,,1,,,
674,3622724,XFMR,,4kv,,,TRN_IEEE_INC_69KV,OIL,POWER TRANSFORMER,,,,23.9,,0.000,,,,0,,,1,,,1,,,
675,3622723,XFMR,,4kv,,,TRN_IEEE_INC_69KV,OIL,POWER TRANSFORMER,,,,23.9,,0.000,,,,0,,,1,,,1,,,
676,3622722,XFMR,,4kv,,,TRN_IEEE_INC_69KV,OIL,POWER TRANSFORMER,,,,23.9,,0.000,,,,0,,,1,,,1,,,
307,Q115203-TVH,XFMR,,4kv,,,TRN_IEEE_INC_69KV,OIL,,GE,,,,,0.000,,,,0,,,,,GAF INDUSTRIES,,,,
663,17891-001,XFMR,,4kv,,,TRN_IEEE_INC_69KV,OIL,,CARTE,,,,,0.000,,,,0,,,,,,,,,
585,99J892137,XFMR,,4kv,,,TRN_IEEE_INC_69KV,OIL,,ABB,,,,,0.000,,,,0,,,,,,,,,
660,3775099,XFMR,,4kv,,,TRN_IEEE_INC_69KV,OIL,,WESTINGHOUSE,,,,,15.200,,,,875,,,,,,,,,
664,C011158,XFMR,,4kv,,,,OIL,,,1994,,,,,,,,,,,,,,,,,
520,7350420,XFMR,,4kv,,,TRN_IEEE_INC_69KV,OIL,,WESTINGHOUSE,,,,,0.000,,,,0,,,,,,,,,
383,30307621950,XFMR,,4kv,68-55-814,,TRN_CPS_ESTER_INC_69KV,ESTER,,ERMCO,,,,,24.900,,,,0,,,,,BIO TRANS,,,,
469,0240464TNJ,XFMR,,4kv,9654-802,,TRN_IEEE_INC_69KV,OIL,,GE,,,,,0.000,,,,0,,,,,,,,,
661,3775099TC,LTC,,,???,,LTC_GENERIC,OIL,POWER TRANSFORMER,WESTINGHOUSE,,,,,0.000,,FREE-BREATHING,,0,0,,1,,,1,,,
10049543,70695-A,LTC,,OLTC,AIRPORT,T2,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,2000,RMV,161.7,67.2,161.000,,DESSICANT-BREATHING,OTHER,0,0,,1,,T2,1,0,0,
